mac_src,mac_dst,ip_src,ip_dst,src_port,dst_port,proto,pktTotalCount,octetTotalCount,avg_ps,flowStart,flowEnd,flowDuration
00:00:00:00:00:03,00:00:00:00:00:09,10.0.0.3,10.0.0.9,49191,3128,6,27,1254,46.44444444,1555953538,1555953620,104.9873421
00:00:00:00:00:08,00:00:00:00:00:02,10.0.0.8,10.0.0.2,49195,3128,6,27,1254,46.44444444,1555953538,1555953621,105.9099169
00:00:00:00:00:07,00:00:00:00:00:04,10.0.0.7,10.0.0.4,54718,443,6,15,2413,160.8666667,1555953538,1555953534,17.618958
00:00:00:00:00:04,00:00:00:00:00:06,10.0.0.4,10.0.0.6,61225,443,6,71,4821,67.90140845,1555953538,1555953871,354.4889472
00:00:00:00:00:03,00:00:00:00:00:0a,10.0.0.3,10.0.0.10,61225,443,6,71,4821,67.90140845,1555953539,1555953871,354.4889472
00:00:00:00:00:0a,00:00:00:00:00:09,10.0.0.10,10.0.0.9,64680,443,6,462,4821,169.4632035,1555953539,1555955310,1793.226408
00:00:00:00:00:07,00:00:00:00:00:03,10.0.0.7,10.0.0.3,61451,443,6,18,1214,67.44444444,1555953539,1555953547,29.7361269
00:00:00:00:00:06,00:00:00:00:00:01,10.0.0.6,10.0.0.1,49260,443,6,80,3720,46.5,1555953539,1555955276,1761.061359
00:00:00:00:00:06,00:00:00:00:00:08,10.0.0.6,10.0.0.8,51144,3128,6,269,2089,1845.434944,1555953540,1555953537,22.2943871
00:00:00:00:00:05,00:00:00:00:00:01,10.0.0.5,10.0.0.1,49260,443,6,80,3720,46.5,1555953540,1555955276,1761.061359
00:00:00:00:00:0a,00:00:00:00:00:05,10.0.0.10,10.0.0.5,61451,443,6,18,1214,67.44444444,1555953541,1555953547,29.7361269
00:00:00:00:00:03,00:00:00:00:00:09,10.0.0.3,10.0.0.9,64680,443,6,462,3720,169.4632035,1555953541,1555955310,1793.226408
00:00:00:00:00:0a,00:00:00:00:00:07,10.0.0.10,10.0.0.7,61450,443,6,5,213,42.6,1555953541,1555953547,30.68342996
00:00:00:00:00:07,00:00:00:00:00:01,10.0.0.7,10.0.0.1,2422,443,6,80,3720,46.5,1555953542,1555955309,1793.130981
00:00:00:00:00:01,00:00:00:00:00:09,10.0.0.1,10.0.0.9,56045,3128,6,46,6106,132.7391304,1555953542,1555953836,319.8713121
00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,10.0.0.3,54718,443,6,15,2413,160.8666667,1555953542,1555953534,17.618958
00:00:00:00:00:01,00:00:00:00:00:03,10.0.0.1,10.0.0.3,64680,443,6,462,4821,169.4632035,1555953543,1555955310,1793.226408
00:00:00:00:00:0a,00:00:00:00:00:05,10.0.0.10,10.0.0.5,61225,443,6,71,4821,67.90140845,1555953543,1555953871,354.4889472
00:00:00:00:00:03,00:00:00:00:00:0a,10.0.0.3,10.0.0.10,64680,443,6,462,4821,169.4632035,1555953543,1555955310,1793.226408
00:00:00:00:00:04,00:00:00:00:00:09,10.0.0.4,10.0.0.9,61225,443,6,71,4821,67.90140845,1555953543,1555953871,354.4889472
00:00:00:00:00:06,00:00:00:00:00:02,10.0.0.6,10.0.0.2,49260,443,6,80,3720,46.5,1555953544,1555955276,1761.061359
00:00:00:00:00:06,00:00:00:00:00:03,10.0.0.6,10.0.0.3,49191,3128,6,27,1254,46.44444444,1555953544,1555953620,104.9873421
00:00:00:00:00:05,00:00:00:00:00:07,10.0.0.5,10.0.0.7,2422,443,6,80,3720,46.5,1555953545,1555955309,1793.130981
00:00:00:00:00:05,00:00:00:00:00:03,10.0.0.5,10.0.0.3,61451,443,6,18,1214,67.44444444,1555953545,1555953547,29.7361269
00:00:00:00:00:05,00:00:00:00:00:09,10.0.0.5,10.0.0.9,61225,443,6,71,4821,67.90140845,1555953546,1555953871,354.4889472
00:00:00:00:00:04,00:00:00:00:00:06,10.0.0.4,10.0.0.6,64680,443,6,462,2089,169.4632035,1555953546,1555955310,1793.226408
00:00:00:00:00:05,00:00:00:00:00:01,10.0.0.5,10.0.0.1,50718,443,6,491,6106,100.3971487,1555953546,1555955296,1780.800412
00:00:00:00:00:09,00:00:00:00:00:07,10.0.0.9,10.0.0.7,49260,443,6,80,3720,46.5,1555953547,1555955276,1761.061359
00:00:00:00:00:08,00:00:00:00:00:07,10.0.0.8,10.0.0.7,61451,443,6,18,1214,67.44444444,1555953547,1555953547,29.7361269
